CRN,Course_Code,Course_Name,Instructor,Day,Time,Room_ID,Room_Type,Capacity,Enrolled,Status
43035,CS235,Mobile Development,Salem,Wed,12:00-13:30,2008,Classroom,2,16,Overcrowded
43036,CS236,Data Mining,Amal,Wed,14:00-15:30,2008,Classroom,2,42,Overcrowded
43037,CS237,Parallel Computing,Ali,Thu,08:00-09:30,2009,Classroom,2,44,Overcrowded
43038,CS238,System Analysis,Sara,Thu,10:00-11:30,2009,Classroom,2,46,Overcrowded
43039,CS239,Distributed Systems,Omar,Thu,12:00-13:30,2010,Classroom,2,34,Overcrowded
43040,CS240,UI/UX Design,Hassan,Thu,14:00-15:30,2010,Classroom,2,36,Overcrowded
43041,CS241,Programming II,Ali,Sun,08:00-09:30,3001,Classroom,3,35,Overcrowded
43042,CS242,Data Structures,Sara,Sun,10:00-11:30,3001,Classroom,3,38,Overcrowded
43043,CS243,Computer Organization,Omar,Sun,12:00-13:30,3002,Classroom,3,36,Overcrowded
43044,CS244,Operating Systems,Hassan,Sun,14:00-15:30,3002,Classroom,3,51,Overcrowded
43045,CS245,Database Systems,Mona,Mon,08:00-09:30,3003,Classroom,3,49,Overcrowded
43046,CS246,Computer Networks,Fahad,Mon,10:00-11:30,3003,Classroom,3,15,Overcrowded
43047,CS247,Software Engineering,Nora,Mon,12:00-13:30,3004,Classroom,3,36,Overcrowded
43048,CS248,Web Development,Lina,Mon,14:00-15:30,3004,Classroom,3,38,Overcrowded
43049,CS249,AI Fundamentals,Yousef,Tue,08:00-09:30,3005,Classroom,3,44,Overcrowded
43050,CS250,Information Security,Aisha,Tue,10:00-11:30,3005,Classroom,3,47,Overcrowded
43051,CS251,Cloud Computing,Khaled,Tue,12:00-13:30,3006,Classroom,3,32,Overcrowded
43052,CS252,HCI,Rana,Tue,14:00-15:30,3006,Classroom,3,34,Overcrowded
43053,CS253,Machine Learning,Nader,Wed,08:00-09:30,3007,Classroom,3,12,Overcrowded
43054,CS254,Digital Ethics,Noor,Wed,10:00-11:30,3007,Classroom,3,37,Overcrowded
43055,CS255,Mobile Development,Salem,Wed,12:00-13:30,3008,Classroom,3,54,Overcrowded
43056,CS256,Data Mining,Amal,Wed,14:00-15:30,3008,Classroom,3,42,Overcrowded
43057,CS257,Parallel Computing,Ali,Thu,08:00-09:30,3009,Classroom,3,44,Overcrowded
43058,CS258,System Analysis,Sara,Thu,10:00-11:30,3009,Classroom,3,66,Overcrowded
43059,CS259,Distributed Systems,Omar,Thu,12:00-13:30,3010,Classroom,3,34,Overcrowded
43060,CS260,UI/UX Design,Hassan,Thu,14:00-15:30,3010,Classroom,3,36,Overcrowded
43061,CS261,Programming II Lab,Hassan,Sun,08:00-09:30,1001,Classroom,1,15,Overcrowded
43062,CS262,Data Structures Lab,Mona,Mon,12:00-13:30,1004,Classroom,1,52,Overcrowded
43063,CS263,Computer Organization Lab,Fahad,Wed,10:00-11:30,1007,Classroom,1,13,Overcrowded
43064,CS264,Operating Systems Lab,Nora,Sun,08:00-09:30,2001,Classroom,2,55,Overcrowded
43065,CS265,Database Systems Lab,Lina,Tue,14:00-15:30,2006,Classroom,2,13,Overcrowded
43066,CS266,Computer Networks Lab,Yousef,Sun,12:00-13:30,3002,Classroom,3,49,Overcrowded
